Nombre farmacia;Direccion;Longitud;Latitud
CRUZ VERDE;AV, LIBERTADOR BERNARDO O'HIGGINS 3002;-33,450806;-70,677501
SALCOBRAND;COMPAÑIA DE JESUS 1214, LOCALES 102 Y 103,;-33,437406;-70,654749
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 1395;-33,444407;-70,655378
SALCOBRAND;SAN MARTIN 30, CENTRO MEDICO AVANSALUD;-33,444274;-70,657607
SALCOBRAND;TEATINOS 316;-33,439681;-70,655282
AHUMADA;AGUSTINAS 2094;-33,442348;-70,665591
AHUMADA;ESTADO 234;-33,440019;-70,649679
AHUMADA;LIBERTADOR BERNARDO O'HIGGINS 1583;-33,444903;-70,658318
AHUMADA;TEATINOS 4;-33,444085;-70,654269
MANRIQUEZ;BANDERA 850;-33,433471;-70,653276
FRANCESA;SAN PABLO 2090;-33,434523;-70,666099
JARDIN;SAN PABLO 2259;-33,434659;-70,668311
AHUMADA;SAN PABLO 2302;-33,434793;-70,669061
TORRES;SAN PABLO 2351;-33,434691;-70,670191
CRUZ VERDE;AGUSTINAS 1173;-33,440679;-70,653243
CRUZ VERDE;AMUNATEGUI 94-96;-33,442373;-70,656187
CRUZ VERDE;COMPAÑIA DE JESUS 2304 2308 LOCAL 5-6;-33,440225;-70,668661
CRUZ VERDE;HUERFANOS 1201;-33,439456;-70,653961
CRUZ VERDE;AV, LIBERTADOR BERNARDO O'HIGGINS 1461 LOCAL 2;-33,451868;-70,682756
CRUZ VERDE;AV, LIBERTADOR BERNARDO O'HIGGINS 2295 ESQ,CUMMING;-33,447349;-70,667153
CRUZ VERDE;SAN MARTIN 405;-33,438889;-70,65799
CRUZ VERDE;SAN PABLO 2398;-33,434995;-70,670939
CRUZ VERDE;TEATINOS 6;-33,444301;-70,654269
RENACER;SAN PABLO 2676;-33,434969;-70,673558
DEL DR, SIMI;BANDERA 86;-33,442183;-70,652083
DEL DR, SIMI;CATEDRAL 2297;-33,439097;-70,668436
BELEN;SAN PABLO 2798;-33,435163;-70,674562
GALLERY;AMUNATEGUI 339;-33,439635;-70,656554
LA BOTICA SALCOBRAND;HUERFANOS 1199;-33,439692;-70,653446
OTERO;RICARDO CUMMING 85;-33,444113;-70,667711
REDFARMA;AGUSTINAS 2299;-33,442356;-70,667973
REDFARMA;RICARDO CUMMING 968;-33,433321;-70,669293
S,O,S,;SAN MARTIN 505;-33,437934;-70,658101
SEBFARMA;ESPERANZA 15;-33,448806;-70,673993
VALDIVIESO;CATEDRAL 1787;-33,438372;-70,662165
CRUZ VERDE;BRASIL 303;-33,440929;-70,664886
DEL DR, SIMI;LIBERTADOR BERNARDO O'HIGGINS 3089;-33,449867;-70,676644
MANRIQUEZ;CATEDRAL 1265, LOCAL 2;-33,439296;-70,655962
BELEN;SAN PABLO 1054;-33,434305;-70,652475
MANRIQUEZ;COMPAÑIA 1303;-33,438801;-70,658952
FARMAMáS;LORD COCHRANE 36, LOCAL 6;-33,445551;-70,655228
MANRIQUEZ;MONJITAS 810, LOCAL 13-A;-33,437026;-70,648791
CRUZ VERDE;HUERFANOS 956;-33,439681;-70,650297
OMARI;SAN ALFONSO 343;-33,454561;-70,675927
CUETO;CUETO 1143, LOCAL 7;-33,443881;-70,650942
MEDDICA;CATEDRAL 1850, LOCAL 1;-33,437004;-70,651546
AHUMADA;HUERFANOS 896;-33,439441;-70,649451
LICAN;TUCAPEL JIMENEZ 133;-33,442379;-70,658887
AHUMADA;MARCOLETA 328, TORRE 9  LOCAL 5;-33,444372;-70,635638
MANRíQUEZ;PORTUGAL 628, LOCAL 2;-33,450117;-70,634841
PARIS;SAN DIEGO 249;-33,448422;-70,651149
ALKOSTO;SERRANO 201;-33,447131;-70,649005
MEDDICA;SAN MARTIN 35, INTERIOR LIDER;-33,443983;-70,656882
FARMA TOTAL;AVENIDA VICUÑA MACKENNA 171, ACCESO B;-33,443153;-70,633789
PHARMASTORE LTDA;SAN PABLO 1527, LOCAL 2;-33,444065;-70,657468
INDI;SAN DIEGO 1505;-33,466244;-70,648974
SALAMOVICH;AVENIDA SAN PABLO 3242;-33,435746;-70,679677
PARIS;SAN FRANCISCO 104-110;-33,445511;-70,647002
SATTVA;AGUSTINAS 1555;-33,441423;-70,658531
PARIS;AVENIDA SANTA ROSA 41;-33,443716;-70,646091
FARMAMASPLUS;AVENIDA SAN PABLO 3135;-33,435516;-70,67854
DR SIMI;SANTO DOMINGO 983, LOCAL 9;-33,419483;-70,663353
CRUZ VERDE;LIBERTADOR BERNARDO O'HIGGINS 1322, LOCAL 5A;-33,444053;-70,657262
FARMACIAS AMIGA;FRANKLIN N°991;-33,472996;-70,646481
FARMACIAS LA REBAJA;SAN DIEGO N°1399, LOCAL 3;-33,455272;-70,590258
VALLE DE VIDA;AVENIDA MANUEL ANTONIO MATTA 825, LOCAL 9;-33,459975;-70,650938
