Nombre farmacia;Direccion;Longitud;Latitud
CRUZ VERDE;AV. LIBERTADOR BERNARDO O'HIGGINS 3002;-33.450.806;-70.677.501
SALCOBRAND;COMPAÑIA DE JESUS 1214. LOCALES 102 Y 103.;-33.437.406;-70.654.749
SALCOBRAND;LIBERTADOR BERNARDO O'HIGGINS 1395;-33.444.407;-70.655.378
SALCOBRAND;SAN MARTIN 30. CENTRO MEDICO AVANSALUD;-33.444.274;-70.657.607
SALCOBRAND;TEATINOS 316;-33.439.681;-70.655.282
AHUMADA;AGUSTINAS 2094;-33.442.348;-70.665.591
AHUMADA;ESTADO 234;-33.440.019;-70.649.679
AHUMADA;LIBERTADOR BERNARDO O'HIGGINS 1583;-33.444.903;-70.658.318
AHUMADA;TEATINOS 4;-33.444.085;-70.654.269
MANRIQUEZ;BANDERA 850;-33.433.471;-70.653.276
FRANCESA;SAN PABLO 2090;-33.434.523;-70.666.099
JARDIN;SAN PABLO 2259;-33.434.659;-70.668.311
AHUMADA;SAN PABLO 2302;-33.434.793;-70.669.061
TORRES;SAN PABLO 2351;-33.434.691;-70.670.191
CRUZ VERDE;AGUSTINAS 1173;-33.440.679;-70.653.243
CRUZ VERDE;AMUNATEGUI 94-96;-33.442.373;-70.656.187
CRUZ VERDE;COMPAÑIA DE JESUS 2304 2308 LOCAL 5-6;-33.440.225;-70.668.661
CRUZ VERDE;HUERFANOS 1201;-33.439.456;-70.653.961
CRUZ VERDE;AV. LIBERTADOR BERNARDO O'HIGGINS 1461 LOCAL 2;-33.451.868;-70.682.756
CRUZ VERDE;AV. LIBERTADOR BERNARDO O'HIGGINS 2295 ESQ.CUMMING;-33.447.349;-70.667.153
CRUZ VERDE;SAN MARTIN 405;-33.438.889;-7.065.799
CRUZ VERDE;SAN PABLO 2398;-33.434.995;-70.670.939
CRUZ VERDE;TEATINOS 6;-33.444.301;-70.654.269
RENACER;SAN PABLO 2676;-33.434.969;-70.673.558
DEL DR. SIMI;BANDERA 86;-33.442.183;-70.652.083
DEL DR. SIMI;CATEDRAL 2297;-33.439.097;-70.668.436
BELEN;SAN PABLO 2798;-33.435.163;-70.674.562
GALLERY;AMUNATEGUI 339;-33.439.635;-70.656.554
LA BOTICA SALCOBRAND;HUERFANOS 1199;-33.439.692;-70.653.446
OTERO;RICARDO CUMMING 85;-33.444.113;-70.667.711
REDFARMA;AGUSTINAS 2299;-33.442.356;-70.667.973
REDFARMA;RICARDO CUMMING 968;-33.433.321;-70.669.293
S.O.S.;SAN MARTIN 505;-33.437.934;-70.658.101
SEBFARMA;ESPERANZA 15;-33.448.806;-70.673.993
VALDIVIESO;CATEDRAL 1787;-33.438.372;-70.662.165
CRUZ VERDE;BRASIL 303;-33.440.929;-70.664.886
DEL DR. SIMI;LIBERTADOR BERNARDO O'HIGGINS 3089;-33.449.867;-70.676.644
MANRIQUEZ;CATEDRAL 1265. LOCAL 2;-33.439.296;-70.655.962
BELEN;SAN PABLO 1054;-33.434.305;-70.652.475
MANRIQUEZ;COMPAÑIA 1303;-33.438.801;-70.658.952
FARMAMáS;LORD COCHRANE 36. LOCAL 6;-33.445.551;-70.655.228
MANRIQUEZ;MONJITAS 810. LOCAL 13-A;-33.437.026;-70.648.791
CRUZ VERDE;HUERFANOS 956;-33.439.681;-70.650.297
OMARI;SAN ALFONSO 343;-33.454.561;-70.675.927
CUETO;CUETO 1143. LOCAL 7;-33.443.881;-70.650.942
MEDDICA;CATEDRAL 1850. LOCAL 1;-33.437.004;-70.651.546
AHUMADA;HUERFANOS 896;-33.439.441;-70.649.451
LICAN;TUCAPEL JIMENEZ 133;-33.442.379;-70.658.887
AHUMADA;MARCOLETA 328. TORRE 9  LOCAL 5;-33.444.372;-70.635.638
MANRíQUEZ;PORTUGAL 628. LOCAL 2;-33.450.117;-70.634.841
PARIS;SAN DIEGO 249;-33.448.422;-70.651.149
ALKOSTO;SERRANO 201;-33.447.131;-70.649.005
MEDDICA;SAN MARTIN 35. INTERIOR LIDER;-33.443.983;-70.656.882
FARMA TOTAL;AVENIDA VICUÑA MACKENNA 171. ACCESO B;-33.443.153;-70.633.789
PHARMASTORE LTDA;SAN PABLO 1527. LOCAL 2;-33.444.065;-70.657.468
INDI;SAN DIEGO 1505;-33.466.244;-70.648.974
SALAMOVICH;AVENIDA SAN PABLO 3242;-33.435.746;-70.679.677
PARIS;SAN FRANCISCO 104-110;-33.445.511;-70.647.002
SATTVA;AGUSTINAS 1555;-33.441.423;-70.658.531
PARIS;AVENIDA SANTA ROSA 41;-33.443.716;-70.646.091
FARMAMASPLUS;AVENIDA SAN PABLO 3135;-33.435.516;-7.067.854
DR SIMI;SANTO DOMINGO 983. LOCAL 9;-33.419.483;-70.663.353
CRUZ VERDE;LIBERTADOR BERNARDO O'HIGGINS 1322. LOCAL 5A;-33.444.053;-70.657.262
